Neighborhood,Latitude,Longitude
"Anand Lok, Jaipur",3.147890000000075,101.69405000000006
Bhankrota,3.147890000000075,101.69405000000006
Chandpole,3.147890000000075,101.69405000000006
Hawa Mahal,3.147890000000075,101.69405000000006
Jawahar Circle,3.082430000000045,101.67083000000008
Jhotwara,3.147890000000075,101.69405000000006
Kathputhli slum,3.147890000000075,101.69405000000006
Malviya Nagar (Jaipur),3.147890000000075,101.69405000000006
Mansarovar (Jaipur),3.147890000000075,101.69405000000006
"Pratap Nagar, Jaipur",3.147890000000075,101.69405000000006
Sanganer,3.147890000000075,101.69405000000006
Sindhi Camp,3.147890000000075,101.69405000000006
"Sushant City, Jaipur",3.147890000000075,101.69405000000006
Vaishali Nagar (Jaipur),3.147890000000075,101.69405000000006
